num,authors,title,year,doi,status,source,file_path,pdf_url
27,,Therapeutic Effect of Repetitive Transcranial Magnetic Stimulation for Post-stroke Vascular Cognitiv,2022,10.3389/fneur.2022.813597,pdf_downloaded,SemanticScholar,/home/juke/jiook_cha_papers_download/out_2/papers/027_Unknown_2022.pdf,https://www.frontiersin.org/articles/10.3389/fneur.2022.813597/pdf
28,,Overestimated Polygenic Prediction due to Overlapping Subjects in Genetic Datasets. (2022),2022,10.1101/2022.01.19.476997,pdf_downloaded,SemanticScholar,/home/juke/jiook_cha_papers_download/out_2/papers/028_Unknown_2022.pdf,https://authors.library.caltech.edu/records/6vwp0-cjx38/files/2022.01.19.476997v1.full.pdf?download=1
29,,Maternal age at birth and child attention-deficit hyperactivity disorder: causal association or fami,2022,10.1111/jcpp.13726,abstract_saved,,/home/juke/jiook_cha_papers_download/out_2/abstracts/029_Unknown_2022.txt,
30,,Cognitive Capacity Genome-Wide Polygenic Scores Identify Individuals with Slower Cognitive Decline i,2022,10.3390/genes13081320,abstract_saved,,/home/juke/jiook_cha_papers_download/out_2/abstracts/030_Unknown_2022.txt,
31,BROAD DEPRESSION POLYGENIC RISK SCORE PREDICTS DENTATE GYRUS,(2022),2022,10.1016/j.euroneuro.2022.07.471,failed,,,
32,,"The sexual brain, genes, and cognition: A machine-predicted brain sex score explains individual diff",2022,10.1002/hbm.25888,abstract_saved,,/home/juke/jiook_cha_papers_download/out_3/abstracts/032_Unknown_2022.txt,
33,,Association of Genome-Wide Polygenic Scores for Multiple Psychiatric and Common Traits in Preadolesc,2022,10.1001/jamanetworkopen.2021.48585,abstract_saved,,/home/juke/jiook_cha_papers_download/out_3/abstracts/033_Unknown_2022.txt,
34,,"Maturity of gray matter structures and white matter connectomes, and their relationship with psychia",2021,10.1002/hbm.25565,abstract_saved,,/home/juke/jiook_cha_papers_download/out_3/abstracts/034_Unknown_2021.txt,
35,,"Genes, Early Life Stress, Brains, and Cognition: A Moderated Mediation Analysis. (2021)",2021,10.1016/J.BIOPSYCH.2021.02.828,failed,,,
36,,Identifying Prepubertal Children with Risk for Suicide Using Deep Neural Network Trained on Multimod,2021,10.1101/2021.10.10.21264580,abstract_saved,,/home/juke/jiook_cha_papers_download/out_3/abstracts/036_Unknown_2021.txt,
37,,Genome-wide Polygenic Scores for Multiple Psychiatric and Common Traits Identify Preadolescent Youth,2020,10.21203/rs.3.rs-136949/v1,abstract_saved,,/home/juke/jiook_cha_papers_download/out_3/abstracts/037_Unknown_2020.txt,
38,,Concordance in parent and offspring cortico-basal ganglia white matter connectivity varies by parent,2020,10.1093/scan/nsaa118,abstract_saved,,/home/juke/jiook_cha_papers_download/out_3/abstracts/038_Unknown_2020.txt,
39,,Differences in brain structure and function in children with the FTO obesity-risk allele. (2020),2020,10.1002/osp4.417,abstract_saved,,/home/juke/jiook_cha_papers_download/out_3/abstracts/039_Unknown_2020.txt,
40,,GANBERT: Generative Adversarial Networks with Bidirectional Encoder Representations from Transformer,2020,,pdf_downloaded,arXiv,/home/juke/jiook_cha_papers_download/out_3/papers/040_Unknown_2020.pdf,https://arxiv.org/pdf/2008.04393.pdf
41,GANDALF: Generative Adversarial Networks with Discriminator-,(2020),2020,10.1007/978-3-030-59713-9_66,pdf_downloaded,SemanticScholar,/home/juke/jiook_cha_papers_download/out_3/papers/041_MRI_2020.pdf,https://arxiv.org/pdf/2008.04396
